spider (8.21 15:31:35 ): spider start.
spider (8.21 15:31:36 ): db create.
spider (8.21 15:32:58 ): 166878857, data insert.
spider (8.21 15:32:59 ): 166878448, data insert.
spider (8.21 15:33:00 ): 166879000, data insert.
spider (8.21 15:33:00 ): 166878956, data insert.
spider (8.21 15:33:01 ): 166879231, data insert.
spider (8.21 15:33:02 ): 166879372, data insert.
spider (8.21 15:33:02 ): 166878959, data insert.
spider (8.21 15:33:03 ): 166879374, data insert.
spider (8.21 15:33:03 ): 166879260, data insert.
spider (8.21 15:33:04 ): 166878729, data insert.
spider (8.21 15:33:05 ): 166878844, data insert.
spider (8.21 15:33:05 ): 166878801, data insert.
spider (8.21 15:33:06 ): 166618136, data insert.
spider (8.21 15:33:07 ): 166618721, data insert.
spider (8.21 15:33:07 ): 166634209, data insert.
spider (8.21 15:33:08 ): 166639543, data insert.
spider (8.21 15:33:08 ): 166627420, data insert.
spider (8.21 15:33:09 ): 166877741, data insert.
spider (8.21 15:33:10 ): 166877214, data insert.
spider (8.21 15:33:10 ): 166877698, data insert.
spider (8.21 15:33:11 ): 166878376, data insert.
spider (8.21 15:33:12 ): 166877363, data insert.
spider (8.21 15:33:12 ): 166878327, data insert.
spider (8.21 15:33:13 ): 166878155, data insert.
spider (8.21 15:33:14 ): 166878090, data insert.
spider (8.21 15:33:14 ): 166877140, data insert.
spider (8.21 15:33:15 ): 166877683, data insert.
spider (8.21 15:33:16 ): 166877332, data insert.
spider (8.21 15:33:16 ): 166877370, data insert.
spider (8.21 15:33:17 ): 166877649, data insert.
spider (8.21 15:33:18 ): 166877650, data insert.
spider (8.21 15:33:18 ): 166877369, data insert.
spider (8.21 15:33:19 ): 166877446, data insert.
spider (8.21 15:33:19 ): 166607590, data insert.
spider (8.21 15:33:20 ): 166601038, data insert.
spider (8.21 15:33:21 ): 166599977, data insert.
spider (8.21 15:33:21 ): 166605759, data insert.
spider (8.21 15:33:22 ): 166604984, data insert.
spider (8.21 15:33:22 ): 166876705, data insert.
spider (8.21 15:33:23 ): 166876724, data insert.
spider (8.21 15:33:24 ): 166877082, data insert.
spider (8.21 15:33:24 ): 166875940, data insert.
spider (8.21 15:33:25 ): 166876779, data insert.
spider (8.21 15:33:26 ): 166876451, data insert.
spider (8.21 15:33:27 ): 166876862, data insert.
spider (8.21 15:33:27 ): 166877045, data insert.
spider (8.21 15:33:28 ): 166876706, data insert.
spider (8.21 15:33:29 ): 166876847, data insert.
spider (8.21 15:33:29 ): 166876087, data insert.
spider (8.21 15:33:30 ): 166876351, data insert.
spider (8.21 15:33:30 ): 166876121, data insert.
spider (8.21 15:33:31 ): 166876782, data insert.
spider (8.21 15:33:32 ): 166876942, data insert.
spider (8.21 15:33:33 ): 166876425, data insert.
spider (8.21 15:33:34 ): 166876472, data insert.
spider (8.21 15:33:34 ): 166876270, data insert.
spider (8.21 15:33:35 ): 166876817, data insert.
spider (8.21 15:33:36 ): 166557360, data insert.
spider (8.21 15:33:37 ): 166588308, data insert.
spider (8.21 15:33:37 ): 166472827, data insert.
spider (8.21 15:33:38 ): 166541044, data insert.
spider (8.21 15:33:38 ): 166560125, data insert.
spider (8.21 15:33:39 ): 166874587, data insert.
spider (8.21 15:33:40 ): 166873969, data insert.
spider (8.21 15:33:40 ): 166874588, data insert.
spider (8.21 15:33:41 ): 166874387, data insert.
spider (8.21 15:33:42 ): 166875176, data insert.
spider (8.21 15:33:43 ): 166875504, data insert.
spider (8.21 15:33:45 ): 166873961, data insert.
spider (8.21 15:33:46 ): 166875284, data insert.
spider (8.21 15:33:49 ): 166875771, data insert.
spider (8.21 15:33:49 ): 166875045, data insert.
spider (8.21 15:33:50 ): 166875876, data insert.
spider (8.21 15:33:50 ): 166874004, data insert.
spider (8.21 15:33:51 ): 166875793, data insert.
spider (8.21 15:33:52 ): 166875210, data insert.
spider (8.21 15:33:52 ): 166460269, data insert.
spider (8.21 15:33:55 ): 166448947, data insert.
spider (8.21 15:33:56 ): 166421886, data insert.
spider (8.21 15:33:56 ): 166461947, data insert.
spider (8.21 15:33:59 ): 166439805, data insert.
spider (8.21 15:34:00 ): 166873319, data insert.
spider (8.21 15:34:00 ): 166873410, data insert.
spider (8.21 15:34:01 ): 166872375, data insert.
spider (8.21 15:34:02 ): 166873347, data insert.
spider (8.21 15:34:02 ): 166873772, data insert.
spider (8.21 15:34:03 ): 166872667, data insert.
spider (8.21 15:34:03 ): 166873153, data insert.
spider (8.21 15:34:04 ): 166872499, data insert.
spider (8.21 15:34:05 ): 166872594, data insert.
spider (8.21 15:34:05 ): 166873438, data insert.
spider (8.21 15:34:06 ): 166872194, data insert.
spider (8.21 15:34:06 ): 166872711, data insert.
spider (8.21 15:34:07 ): 166872793, data insert.
spider (8.21 15:34:08 ): 166872501, data insert.
spider (8.21 15:34:08 ): 166873396, data insert.
spider (8.21 15:34:09 ): 166873768, data insert.
spider (8.21 15:34:09 ): 166872318, data insert.
spider (8.21 15:34:10 ): 166872811, data insert.
spider (8.21 15:34:11 ): 166872474, data insert.
spider (8.21 15:34:12 ): 166775820, data insert.
spider (8.21 15:34:12 ): 166780687, data insert.
spider (8.21 15:34:13 ): 166781437, data insert.
spider (8.21 15:34:13 ): 166386573, data insert.
spider (8.21 15:34:14 ): 166839504, data insert.
spider (8.21 15:34:15 ): 166870941, data insert.
spider (8.21 15:34:15 ): 166870795, data insert.
spider (8.21 15:34:16 ): 166871598, data insert.
spider (8.21 15:34:16 ): 166872089, data insert.
spider (8.21 15:34:17 ): 166871918, data insert.
spider (8.21 15:34:18 ): 166871737, data insert.
spider (8.21 15:34:19 ): 166871303, data insert.
spider (8.21 15:34:20 ): 166872157, data insert.
spider (8.21 15:34:20 ): 166871548, data insert.
spider (8.21 15:34:21 ): 166871047, data insert.
spider (8.21 15:34:22 ): 166871279, data insert.
spider (8.21 15:34:22 ): 166870741, data insert.
spider (8.21 15:34:23 ): 166871071, data insert.
spider (8.21 15:34:24 ): 166871018, data insert.
spider (8.21 15:34:24 ): 166871754, data insert.
spider (8.21 15:34:25 ): 166871866, data insert.
spider (8.21 15:34:25 ): 166871250, data insert.
spider (8.21 15:34:26 ): 166767338, data insert.
spider (8.21 15:34:26 ): 166746349, data insert.
spider (8.21 15:34:27 ): 166724787, data insert.
spider (8.21 15:34:28 ): 166725056, data insert.
spider (8.21 15:34:28 ): 166744119, data insert.
spider (8.21 15:34:29 ): 166870253, data insert.
spider (8.21 15:34:29 ): 166869337, data insert.
spider (8.21 15:34:30 ): 166870272, data insert.
spider (8.21 15:34:30 ): 166869791, data insert.
spider (8.21 15:34:31 ): 166869826, data insert.
spider (8.21 15:34:32 ): 166870563, data insert.
spider (8.21 15:34:32 ): 166870146, data insert.
spider (8.21 15:34:33 ): 166870427, data insert.
spider (8.21 15:34:34 ): 166869704, data insert.
spider (8.21 15:34:35 ): 166869922, data insert.
spider (8.21 15:34:35 ): 166869642, data insert.
spider (8.21 15:34:36 ): 166870114, data insert.
spider (8.21 15:34:37 ): 166870086, data insert.
spider (8.21 15:34:38 ): 166870316, data insert.
spider (8.21 15:34:38 ): 166870305, data insert.
spider (8.21 15:34:39 ): 166869290, data insert.
spider (8.21 15:34:40 ): 166869466, data insert.
spider (8.21 15:34:40 ): 166870602, data insert.
spider (8.21 15:34:41 ): 166385979, data insert.
spider (8.21 15:34:42 ): 166578990, data insert.
spider (8.21 15:34:42 ): 166792826, data insert.
spider (8.21 15:34:43 ): 166500450, data insert.
spider (8.21 15:34:44 ): 166798311, data insert.
spider (8.21 15:34:44 ): 166868887, data insert.
spider (8.21 15:34:45 ): 166868827, data insert.
spider (8.21 15:34:45 ): 166869182, data insert.
spider (8.21 15:34:46 ): 166868569, data insert.
spider (8.21 15:34:47 ): 166868036, data insert.
spider (8.21 15:34:47 ): 166867351, data insert.
spider (8.21 15:34:48 ): 166867300, data insert.
spider (8.21 15:34:49 ): 166869239, data insert.
spider (8.21 15:34:49 ): 166867180, data insert.
spider (8.21 15:34:50 ): 166868770, data insert.
spider (8.21 15:34:51 ): 166867864, data insert.
spider (8.21 15:34:51 ): 166868628, data insert.
spider (8.21 15:34:52 ): 166868769, data insert.
spider (8.21 15:34:52 ): 166867825, data insert.
spider (8.21 15:34:53 ): 166869041, data insert.
spider (8.21 15:34:54 ): 166867591, data insert.
spider (8.21 15:34:54 ): 166749523, data insert.
spider (8.21 15:34:55 ): 166658216, data insert.
spider (8.21 15:34:56 ): 166742342, data insert.
spider (8.21 15:34:56 ): 166749512, data insert.
spider (8.21 15:34:57 ): 166726112, data insert.
spider (8.21 15:34:58 ): 166863692, data insert.
spider (8.21 15:34:58 ): 166865499, data insert.
spider (8.21 15:34:59 ): 166865518, data insert.
spider (8.21 15:35:00 ): 166863767, data insert.
spider (8.21 15:35:00 ): 166863552, data insert.
spider (8.21 15:35:02 ): 166864471, data insert.
spider (8.21 15:35:02 ): 166865656, data insert.
spider (8.21 15:35:03 ): 166864619, data insert.
spider (8.21 15:35:03 ): 166866499, data insert.
spider (8.21 15:35:04 ): 166866621, data insert.
spider (8.21 15:35:05 ): 166865810, data insert.
spider (8.21 15:35:05 ): 166866101, data insert.
spider (8.21 15:35:06 ): 166866563, data insert.
spider (8.21 15:35:07 ): 166866334, data insert.
spider (8.21 15:35:07 ): 166864181, data insert.
spider (8.21 15:35:08 ): 166864007, data insert.
spider (8.21 15:35:08 ): 166864914, data insert.
spider (8.21 15:35:09 ): 166867112, data insert.
spider (8.21 15:35:10 ): 166863740, data insert.
spider (8.21 15:35:11 ): 166864296, data insert.
spider (8.21 15:35:11 ): 166875582, data insert.
spider (8.21 15:35:12 ): 166875249, data insert.
spider (8.21 15:35:13 ): 166873261, data insert.
spider (8.21 15:35:13 ): 166878051, data insert.
spider (8.21 15:35:14 ): 166879389, data insert.
spider (8.21 15:35:15 ): 166861205, data insert.
spider (8.21 15:35:16 ): 166861154, data insert.
spider (8.21 15:35:16 ): 166861616, data insert.
spider (8.21 15:35:17 ): 166861872, data insert.
spider (8.21 15:35:18 ): 166861096, data insert.
spider (8.21 15:35:19 ): 166861999, data insert.
spider (8.21 15:35:19 ): 166861479, data insert.
spider (8.21 15:35:20 ): 166863036, data insert.
spider (8.21 15:35:21 ): 166861302, data insert.
spider (8.21 15:35:21 ): 166861354, data insert.
spider (8.21 15:35:22 ): 166861381, data insert.
spider (8.21 15:35:23 ): 166861343, data insert.
spider (8.21 15:35:23 ): 166861110, data insert.
spider (8.21 15:35:24 ): 166861050, data insert.
spider (8.21 15:35:25 ): 166862141, data insert.
spider (8.21 15:35:25 ): 166861552, data insert.
spider (8.21 15:35:26 ): 166861232, data insert.
spider (8.21 15:35:26 ): 166861367, data insert.
spider (8.21 15:35:27 ): 166861143, data insert.
spider (8.21 15:35:28 ): 166862105, data insert.
spider (8.21 15:35:28 ): 166872656, data insert.
spider (8.21 15:35:29 ): 166872852, data insert.
spider (8.21 15:35:30 ): 166868259, data insert.
spider (8.21 15:35:30 ): 166868147, data insert.
spider (8.21 15:35:31 ): 166873216, data insert.
spider (8.21 15:35:32 ): 166860850, data insert.
spider (8.21 15:35:32 ): 166855363, data insert.
spider (8.21 15:35:33 ): 166860813, data insert.
spider (8.21 15:35:34 ): 166857546, data insert.
spider (8.21 15:35:35 ): 166856610, data insert.
spider (8.21 15:35:36 ): 166856550, data insert.
spider (8.21 15:35:36 ): 166855345, data insert.
spider (8.21 15:35:37 ): 166858880, data insert.
spider (8.21 15:35:37 ): 166858602, data insert.
spider (8.21 15:35:38 ): 166855059, data insert.
spider (8.21 15:35:39 ): 166855725, data insert.
spider (8.21 15:35:39 ): 166857982, data insert.
spider (8.21 15:35:40 ): 166860928, data insert.
spider (8.21 15:35:41 ): 166855400, data insert.
spider (8.21 15:35:42 ): 166858472, data insert.
spider (8.21 15:35:42 ): 166855148, data insert.
spider (8.21 15:35:43 ): 166860896, data insert.
spider (8.21 15:35:44 ): 166858498, data insert.
spider (8.21 15:35:44 ): 166857090, data insert.
spider (8.21 15:35:45 ): 166781603, data insert.
spider (8.21 15:35:45 ): 166865873, data insert.
spider (8.21 15:35:46 ): 166866729, data insert.
spider (8.21 15:35:47 ): 166793320, data insert.
spider (8.21 15:35:47 ): 166822596, data insert.
spider (8.21 15:35:48 ): 166853744, data insert.
spider (8.21 15:35:49 ): 166854829, data insert.
spider (8.21 15:35:49 ): 166854800, data insert.
spider (8.21 15:35:51 ): 166853569, data insert.
spider (8.21 15:35:51 ): 166854852, data insert.
spider (8.21 15:35:52 ): 166853780, data insert.
spider (8.21 15:35:53 ): 166853700, data insert.
spider (8.21 15:35:53 ): 166854087, data insert.
spider (8.21 15:35:54 ): 166853600, data insert.
spider (8.21 15:35:55 ): 166853812, data insert.
spider (8.21 15:35:56 ): 166854061, data insert.
spider (8.21 15:35:56 ): 166853752, data insert.
spider (8.21 15:35:57 ): 166853714, data insert.
spider (8.21 15:35:57 ): 166853510, data insert.
spider (8.21 15:35:58 ): 166854840, data insert.
spider (8.21 15:35:59 ): 166853630, data insert.
spider (8.21 15:35:59 ): 166739658, data insert.
spider (8.21 15:36:00 ): 166704800, data insert.
spider (8.21 15:36:01 ): 166747142, data insert.
spider (8.21 15:36:01 ): 166743730, data insert.
spider (8.21 15:36:02 ): 166748884, data insert.
spider (8.21 15:36:03 ): 166853095, data insert.
